date,location,AQI,dayofweek,is_weekend,month,season,week_of_year,day_of_year,AQI_lag_1,AQI_lag_2,AQI_lag_3,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,temperature_2m_max_roll7_mean,temperature_2m_max_roll7_max,temperature_2m_min_roll7_mean,temperature_2m_min_roll7_max,precipitation_sum_roll7_mean,precipitation_sum_roll7_max,windspeed_10m_max_roll7_mean,windspeed_10m_max_roll7_max,temp_range,is_rain
2025-06-20,沈阳,47,4,False,6,3,25,171,,,,26.1,20.0,2.4,16.0,26.1,26.1,20.0,20.0,2.4,2.4,16.0,16.0,6.1,1
2025-06-21,沈阳,57,5,True,6,3,25,172,47.0,,,27.3,16.8,0.0,12.6,26.7,27.3,18.4,20.0,1.2,2.4,14.3,16.0,10.5,0
2025-06-22,沈阳,80,6,True,6,3,25,173,57.0,47.0,,33.3,19.1,0.0,10.5,28.9,33.3,18.6,20.0,0.8,2.4,13.0,16.0,14.2,0
2025-06-23,沈阳,121,0,False,6,3,26,174,80.0,57.0,47.0,35.7,21.4,0.0,15.2,30.6,35.7,19.3,21.4,0.6,2.4,13.6,16.0,14.3,0
2025-06-24,沈阳,137,1,False,6,3,26,175,121.0,80.0,57.0,36.3,23.6,0.0,11.3,31.7,36.3,20.2,23.6,0.5,2.4,13.1,16.0,12.7,0
2025-06-25,沈阳,143,2,False,6,3,26,176,137.0,121.0,80.0,34.3,24.9,0.0,11.0,32.2,36.3,21.0,24.9,0.4,2.4,12.8,16.0,9.4,0
2025-06-26,沈阳,104,3,False,6,3,26,177,143.0,137.0,121.0,35.6,23.7,0.0,14.0,32.7,36.3,21.4,24.9,0.3,2.4,12.9,16.0,11.9,0
2025-06-27,沈阳,43,4,False,6,3,26,178,104.0,143.0,137.0,27.0,21.9,22.1,10.2,32.8,36.3,21.6,24.9,3.2,22.1,12.1,15.2,5.1,1
2025-06-28,沈阳,41,5,True,6,3,26,179,43.0,104.0,143.0,27.7,21.1,2.4,11.5,32.8,36.3,22.2,24.9,3.5,22.1,12.0,15.2,6.6,1
2025-06-29,沈阳,65,6,True,6,3,26,180,41.0,43.0,104.0,29.2,21.3,3.5,16.0,32.3,36.3,22.6,24.9,4.0,22.1,12.7,16.0,7.9,1
2025-06-30,沈阳,37,0,False,6,3,27,181,65.0,41.0,43.0,26.5,21.9,26.3,15.2,30.9,36.3,22.6,24.9,7.8,26.3,12.7,16.0,4.6,1
2025-07-01,沈阳,41,1,False,7,3,27,182,37.0,65.0,41.0,29.8,22.3,10.3,18.0,30.0,35.6,22.4,24.9,9.2,26.3,13.7,18.0,7.5,1
2025-07-02,沈阳,61,2,False,7,3,27,183,41.0,37.0,65.0,30.5,23.3,1.0,15.6,29.5,35.6,22.2,23.7,9.4,26.3,14.4,18.0,7.2,1
2025-07-03,沈阳,30,3,False,7,3,27,184,61.0,41.0,37.0,25.1,23.9,,12.8,28.0,30.5,22.2,23.9,10.9,26.3,14.2,18.0,1.2,0
2025-06-20,大连,63,4,False,6,3,25,171,,,,27.2,19.7,8.9,19.6,27.2,27.2,19.7,19.7,8.9,8.9,19.6,19.6,7.5,1
2025-06-21,大连,83,5,True,6,3,25,172,63.0,,,27.7,19.0,0.0,14.4,27.4,27.7,19.4,19.7,4.4,8.9,17.0,19.6,8.7,0
2025-06-22,大连,169,6,True,6,3,25,173,83.0,63.0,,32.5,21.9,0.0,15.6,29.1,32.5,20.2,21.9,3.0,8.9,16.5,19.6,10.6,0
2025-06-23,大连,90,0,False,6,3,26,174,169.0,83.0,63.0,28.9,22.2,0.0,15.8,29.1,32.5,20.7,22.2,2.2,8.9,16.4,19.6,6.7,0
2025-06-24,大连,69,1,False,6,3,26,175,90.0,169.0,83.0,25.5,19.7,0.0,10.2,28.4,32.5,20.5,22.2,1.8,8.9,15.1,19.6,5.8,0
2025-06-25,大连,69,2,False,6,3,26,176,69.0,90.0,169.0,25.5,20.9,0.0,15.2,27.9,32.5,20.6,22.2,1.5,8.9,15.1,19.6,4.6,0
2025-06-26,大连,99,3,False,6,3,26,177,69.0,69.0,90.0,26.9,20.9,2.5,12.5,27.7,32.5,20.6,22.2,1.6,8.9,14.8,19.6,6.0,1
2025-06-27,大连,46,4,False,6,3,26,178,99.0,69.0,69.0,23.3,20.7,8.7,21.5,27.2,32.5,20.8,22.2,1.6,8.7,15.0,21.5,2.6,1
2025-06-28,大连,47,5,True,6,3,26,179,46.0,99.0,69.0,25.7,21.0,0.7,14.7,26.9,32.5,21.0,22.2,1.7,8.7,15.1,21.5,4.7,1
2025-06-29,大连,50,6,True,6,3,26,180,47.0,46.0,99.0,23.9,21.8,1.6,15.9,25.7,28.9,21.0,22.2,1.9,8.7,15.1,21.5,2.1,1
2025-06-30,大连,49,0,False,6,3,27,181,50.0,47.0,46.0,25.4,21.9,13.6,17.4,25.2,26.9,21.0,21.9,3.9,13.6,15.3,21.5,3.5,1
2025-07-01,大连,41,1,False,7,3,27,182,49.0,50.0,47.0,27.8,22.9,37.4,13.5,25.5,27.8,21.4,22.9,9.2,37.4,15.8,21.5,4.9,1
2025-07-02,大连,41,2,False,7,3,27,183,41.0,49.0,50.0,26.2,22.7,9.8,12.6,25.6,27.8,21.7,22.9,10.6,37.4,15.4,21.5,3.5,1
2025-07-03,大连,37,3,False,7,3,27,184,41.0,41.0,49.0,24.6,23.8,,23.2,25.3,27.8,22.1,23.8,12.0,37.4,17.0,23.2,0.8,0
2025-06-20,鞍山,45,4,False,6,3,25,171,,,,26.9,19.4,0.4,16.7,26.9,26.9,19.4,19.4,0.4,0.4,16.7,16.7,7.5,1
2025-06-21,鞍山,65,5,True,6,3,25,172,45.0,,,28.9,16.7,0.0,14.7,27.9,28.9,18.0,19.4,0.2,0.4,15.7,16.7,12.2,0
2025-06-22,鞍山,74,6,True,6,3,25,173,65.0,45.0,,34.6,19.8,0.0,14.4,30.1,34.6,18.6,19.8,0.1,0.4,15.3,16.7,14.8,0
2025-06-23,鞍山,126,0,False,6,3,26,174,74.0,65.0,45.0,36.7,22.4,0.0,18.3,31.8,36.7,19.6,22.4,0.1,0.4,16.0,18.3,14.3,0
2025-06-24,鞍山,136,1,False,6,3,26,175,126.0,74.0,65.0,37.0,23.1,0.0,15.7,32.8,37.0,20.3,23.1,0.1,0.4,16.0,18.3,13.9,0
2025-06-25,鞍山,134,2,False,6,3,26,176,136.0,126.0,74.0,35.2,23.7,0.0,11.7,33.2,37.0,20.8,23.7,0.1,0.4,15.2,18.3,11.5,0
2025-06-26,鞍山,86,3,False,6,3,26,177,134.0,136.0,126.0,35.2,22.9,0.0,14.1,33.5,37.0,21.1,23.7,0.1,0.4,15.1,18.3,12.3,0
2025-06-27,鞍山,42,4,False,6,3,26,178,86.0,134.0,136.0,27.4,22.1,8.7,9.7,33.6,37.0,21.5,23.7,1.2,8.7,14.1,18.3,5.3,1
2025-06-28,鞍山,46,5,True,6,3,26,179,42.0,86.0,134.0,28.1,21.2,1.6,13.5,33.5,37.0,22.2,23.7,1.5,8.7,13.9,18.3,6.9,1
2025-06-29,鞍山,55,6,True,6,3,26,180,46.0,42.0,86.0,29.9,21.7,2.3,17.3,32.8,37.0,22.4,23.7,1.8,8.7,14.3,18.3,8.2,1
2025-06-30,鞍山,32,0,False,6,3,27,181,55.0,46.0,42.0,27.7,22.7,19.7,19.0,31.5,37.0,22.5,23.7,4.6,19.7,14.4,19.0,5.0,1
2025-07-01,鞍山,37,1,False,7,3,27,182,32.0,55.0,46.0,31.1,23.0,12.6,23.7,30.7,35.2,22.5,23.7,6.4,19.7,15.6,23.7,8.1,1
2025-07-02,鞍山,54,2,False,7,3,27,183,37.0,32.0,55.0,31.3,23.4,0.5,17.5,30.1,35.2,22.4,23.4,6.5,19.7,16.4,23.7,7.9,1
2025-07-03,鞍山,33,3,False,7,3,27,184,54.0,37.0,32.0,24.9,23.9,,15.5,28.6,31.3,22.6,23.9,7.6,19.7,16.6,23.7,1.0,0
2025-06-20,抚顺,55,4,False,6,3,25,171,,,,25.5,17.5,2.9,16.5,25.5,25.5,17.5,17.5,2.9,2.9,16.5,16.5,8.0,1
2025-06-21,抚顺,63,5,True,6,3,25,172,55.0,,,25.5,14.5,0.2,15.8,25.5,25.5,16.0,17.5,1.6,2.9,16.2,16.5,11.0,1
2025-06-22,抚顺,85,6,True,6,3,25,173,63.0,55.0,,30.8,16.5,0.0,9.7,27.3,30.8,16.2,17.5,1.0,2.9,14.0,16.5,14.3,0
2025-06-23,抚顺,130,0,False,6,3,26,174,85.0,63.0,55.0,32.7,18.4,0.0,10.5,28.6,32.7,16.7,18.4,0.8,2.9,13.1,16.5,14.3,0
2025-06-24,抚顺,120,1,False,6,3,26,175,130.0,85.0,63.0,34.3,19.4,0.0,8.1,29.8,34.3,17.3,19.4,0.6,2.9,12.1,16.5,14.9,0
2025-06-25,抚顺,159,2,False,6,3,26,176,120.0,130.0,85.0,32.8,21.1,0.0,12.9,30.3,34.3,17.9,21.1,0.5,2.9,12.2,16.5,11.7,0
2025-06-26,抚顺,139,3,False,6,3,26,177,159.0,120.0,130.0,33.3,21.4,0.0,13.1,30.7,34.3,18.4,21.4,0.4,2.9,12.4,16.5,11.9,0
2025-06-27,抚顺,40,4,False,6,3,26,178,139.0,159.0,120.0,26.0,21.2,9.7,9.8,30.8,34.3,18.9,21.4,1.4,9.7,11.4,15.8,4.8,1
2025-06-28,抚顺,40,5,True,6,3,26,179,40.0,139.0,159.0,27.0,20.2,8.2,14.2,31.0,34.3,19.7,21.4,2.6,9.7,11.2,14.2,6.8,1
2025-06-29,抚顺,75,6,True,6,3,26,180,40.0,40.0,139.0,29.5,20.4,1.9,18.7,30.8,34.3,20.3,21.4,2.8,9.7,12.5,18.7,9.1,1
