date,location,AQI,dayofweek,is_weekend
2025-06-20,沈阳市,47,4,False
2025-06-21,沈阳市,57,5,True
2025-06-22,沈阳市,80,6,True
2025-06-23,沈阳市,121,0,False
2025-06-24,沈阳市,137,1,False
2025-06-25,沈阳市,143,2,False
2025-06-26,沈阳市,104,3,False
2025-06-27,沈阳市,43,4,False
2025-06-28,沈阳市,41,5,True
2025-06-29,沈阳市,65,6,True
2025-06-30,沈阳市,37,0,False
2025-07-01,沈阳市,41,1,False
2025-07-02,沈阳市,61,2,False
2025-07-03,沈阳市,30,3,False
2025-06-20,大连市,63,4,False
2025-06-21,大连市,83,5,True
2025-06-22,大连市,169,6,True
2025-06-23,大连市,90,0,False
2025-06-24,大连市,69,1,False
2025-06-25,大连市,69,2,False
2025-06-26,大连市,99,3,False
2025-06-27,大连市,46,4,False
2025-06-28,大连市,47,5,True
2025-06-29,大连市,50,6,True
2025-06-30,大连市,49,0,False
2025-07-01,大连市,41,1,False
2025-07-02,大连市,41,2,False
2025-07-03,大连市,37,3,False
2025-06-20,鞍山市,45,4,False
2025-06-21,鞍山市,65,5,True
2025-06-22,鞍山市,74,6,True
2025-06-23,鞍山市,126,0,False
2025-06-24,鞍山市,136,1,False
2025-06-25,鞍山市,134,2,False
2025-06-26,鞍山市,86,3,False
2025-06-27,鞍山市,42,4,False
2025-06-28,鞍山市,46,5,True
2025-06-29,鞍山市,55,6,True
2025-06-30,鞍山市,32,0,False
2025-07-01,鞍山市,37,1,False
2025-07-02,鞍山市,54,2,False
2025-07-03,鞍山市,33,3,False
2025-06-20,抚顺市,55,4,False
2025-06-21,抚顺市,63,5,True
2025-06-22,抚顺市,85,6,True
2025-06-23,抚顺市,130,0,False
2025-06-24,抚顺市,120,1,False
2025-06-25,抚顺市,159,2,False
2025-06-26,抚顺市,139,3,False
2025-06-27,抚顺市,40,4,False
2025-06-28,抚顺市,40,5,True
2025-06-29,抚顺市,75,6,True
2025-06-30,抚顺市,39,0,False
2025-07-01,抚顺市,43,1,False
2025-07-02,抚顺市,48,2,False
2025-07-03,抚顺市,36,3,False
2025-06-20,本溪市,57,4,False
2025-06-21,本溪市,59,5,True
2025-06-22,本溪市,71,6,True
2025-06-23,本溪市,100,0,False
2025-06-24,本溪市,85,1,False
2025-06-25,本溪市,140,2,False
2025-06-26,本溪市,116,3,False
2025-06-27,本溪市,45,4,False
2025-06-28,本溪市,43,5,True
2025-06-29,本溪市,61,6,True
2025-06-30,本溪市,28,0,False
2025-07-01,本溪市,31,1,False
2025-07-02,本溪市,39,2,False
2025-07-03,本溪市,30,3,False
2025-06-20,丹东市,48,4,False
2025-06-21,丹东市,67,5,True
2025-06-22,丹东市,79,6,True
2025-06-23,丹东市,87,0,False
2025-06-24,丹东市,94,1,False
2025-06-25,丹东市,48,2,False
2025-06-26,丹东市,46,3,False
2025-06-27,丹东市,34,4,False
2025-06-28,丹东市,50,5,True
2025-06-29,丹东市,47,6,True
2025-06-30,丹东市,36,0,False
2025-07-01,丹东市,26,1,False
2025-07-02,丹东市,36,2,False
2025-07-03,丹东市,31,3,False
2025-06-20,锦州市,41,4,False
2025-06-21,锦州市,54,5,True
2025-06-22,锦州市,78,6,True
2025-06-23,锦州市,138,0,False
2025-06-24,锦州市,110,1,False
2025-06-25,锦州市,101,2,False
2025-06-26,锦州市,78,3,False
2025-06-27,锦州市,66,4,False
2025-06-28,锦州市,43,5,True
2025-06-29,锦州市,56,6,True
2025-06-30,锦州市,60,0,False
2025-07-01,锦州市,48,1,False
2025-07-02,锦州市,55,2,False
2025-07-03,锦州市,44,3,False
2025-06-20,营口市,59,4,False
2025-06-21,营口市,75,5,True
2025-06-22,营口市,138,6,True
2025-06-23,营口市,165,0,False
2025-06-24,营口市,117,1,False
2025-06-25,营口市,103,2,False
2025-06-26,营口市,99,3,False
2025-06-27,营口市,47,4,False
2025-06-28,营口市,63,5,True
2025-06-29,营口市,67,6,True
2025-06-30,营口市,48,0,False
2025-07-01,营口市,50,1,False
2025-07-02,营口市,52,2,False
2025-07-03,营口市,45,3,False
2025-06-20,阜新市,42,4,False
2025-06-21,阜新市,48,5,True
2025-06-22,阜新市,76,6,True
2025-06-23,阜新市,125,0,False
2025-06-24,阜新市,121,1,False
2025-06-25,阜新市,100,2,False
2025-06-26,阜新市,126,3,False
2025-06-27,阜新市,68,4,False
2025-06-28,阜新市,46,5,True
2025-06-29,阜新市,80,6,True
2025-06-30,阜新市,61,0,False
2025-07-01,阜新市,59,1,False
2025-07-02,阜新市,64,2,False
2025-07-03,阜新市,43,3,False
2025-06-20,辽阳市,48,4,False
2025-06-21,辽阳市,64,5,True
