date,location,AQI
2025-06-20,沈阳市,47
2025-06-21,沈阳市,57
2025-06-22,沈阳市,80
2025-06-23,沈阳市,121
2025-06-24,沈阳市,137
2025-06-25,沈阳市,143
2025-06-26,沈阳市,104
2025-06-27,沈阳市,43
2025-06-28,沈阳市,41
2025-06-29,沈阳市,65
2025-06-30,沈阳市,37
2025-07-01,沈阳市,41
2025-07-02,沈阳市,61
2025-07-03,沈阳市,30
2025-06-20,大连市,63
2025-06-21,大连市,83
2025-06-22,大连市,169
2025-06-23,大连市,90
2025-06-24,大连市,69
2025-06-25,大连市,69
2025-06-26,大连市,99
2025-06-27,大连市,46
2025-06-28,大连市,47
2025-06-29,大连市,50
2025-06-30,大连市,49
2025-07-01,大连市,41
2025-07-02,大连市,41
2025-07-03,大连市,37
2025-06-20,鞍山市,45
2025-06-21,鞍山市,65
2025-06-22,鞍山市,74
2025-06-23,鞍山市,126
2025-06-24,鞍山市,136
2025-06-25,鞍山市,134
2025-06-26,鞍山市,86
2025-06-27,鞍山市,42
2025-06-28,鞍山市,46
2025-06-29,鞍山市,55
2025-06-30,鞍山市,32
2025-07-01,鞍山市,37
2025-07-02,鞍山市,54
2025-07-03,鞍山市,33
2025-06-20,抚顺市,55
2025-06-21,抚顺市,63
2025-06-22,抚顺市,85
2025-06-23,抚顺市,130
2025-06-24,抚顺市,120
2025-06-25,抚顺市,159
2025-06-26,抚顺市,139
2025-06-27,抚顺市,40
2025-06-28,抚顺市,40
2025-06-29,抚顺市,75
2025-06-30,抚顺市,39
2025-07-01,抚顺市,43
2025-07-02,抚顺市,48
2025-07-03,抚顺市,36
2025-06-20,本溪市,57
2025-06-21,本溪市,59
2025-06-22,本溪市,71
2025-06-23,本溪市,100
2025-06-24,本溪市,85
2025-06-25,本溪市,140
2025-06-26,本溪市,116
2025-06-27,本溪市,45
2025-06-28,本溪市,43
2025-06-29,本溪市,61
2025-06-30,本溪市,28
2025-07-01,本溪市,31
2025-07-02,本溪市,39
2025-07-03,本溪市,30
2025-06-20,丹东市,48
2025-06-21,丹东市,67
2025-06-22,丹东市,79
2025-06-23,丹东市,87
2025-06-24,丹东市,94
2025-06-25,丹东市,48
2025-06-26,丹东市,46
2025-06-27,丹东市,34
2025-06-28,丹东市,50
2025-06-29,丹东市,47
2025-06-30,丹东市,36
2025-07-01,丹东市,26
2025-07-02,丹东市,36
2025-07-03,丹东市,31
2025-06-20,锦州市,41
2025-06-21,锦州市,54
2025-06-22,锦州市,78
2025-06-23,锦州市,138
2025-06-24,锦州市,110
2025-06-25,锦州市,101
2025-06-26,锦州市,78
2025-06-27,锦州市,66
2025-06-28,锦州市,43
2025-06-29,锦州市,56
2025-06-30,锦州市,60
2025-07-01,锦州市,48
2025-07-02,锦州市,55
2025-07-03,锦州市,44
2025-06-20,营口市,59
2025-06-21,营口市,75
2025-06-22,营口市,138
2025-06-23,营口市,165
2025-06-24,营口市,117
2025-06-25,营口市,103
2025-06-26,营口市,99
2025-06-27,营口市,47
2025-06-28,营口市,63
2025-06-29,营口市,67
2025-06-30,营口市,48
2025-07-01,营口市,50
2025-07-02,营口市,52
2025-07-03,营口市,45
2025-06-20,阜新市,42
2025-06-21,阜新市,48
2025-06-22,阜新市,76
2025-06-23,阜新市,125
2025-06-24,阜新市,121
2025-06-25,阜新市,100
2025-06-26,阜新市,126
