time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,location
2025-06-20,26.1,20.0,2.4,16.0,沈阳
2025-06-21,27.3,16.8,0.0,12.6,沈阳
2025-06-22,33.3,19.1,0.0,10.5,沈阳
2025-06-23,35.7,21.4,0.0,15.2,沈阳
2025-06-24,36.3,23.6,0.0,11.3,沈阳
2025-06-25,34.3,24.9,0.0,11.0,沈阳
2025-06-26,35.6,23.7,0.0,14.0,沈阳
2025-06-27,27.0,21.9,22.1,10.2,沈阳
2025-06-28,27.7,21.1,2.4,11.5,沈阳
2025-06-29,29.2,21.3,3.5,16.0,沈阳
2025-06-30,26.5,21.9,26.3,15.2,沈阳
2025-07-01,29.8,22.3,10.3,18.0,沈阳
2025-07-02,30.5,23.3,1.0,15.6,沈阳
2025-07-03,25.1,23.9,,12.8,沈阳
2025-06-20,27.2,19.7,8.9,19.6,大连
2025-06-21,27.7,19.0,0.0,14.4,大连
2025-06-22,32.5,21.9,0.0,15.6,大连
2025-06-23,28.9,22.2,0.0,15.8,大连
2025-06-24,25.5,19.7,0.0,10.2,大连
2025-06-25,25.5,20.9,0.0,15.2,大连
2025-06-26,26.9,20.9,2.5,12.5,大连
2025-06-27,23.3,20.7,8.7,21.5,大连
2025-06-28,25.7,21.0,0.7,14.7,大连
2025-06-29,23.9,21.8,1.6,15.9,大连
2025-06-30,25.4,21.9,13.6,17.4,大连
2025-07-01,27.8,22.9,37.4,13.5,大连
2025-07-02,26.2,22.7,9.8,12.6,大连
2025-07-03,24.6,23.8,,23.2,大连
2025-06-20,26.9,19.4,0.4,16.7,鞍山
2025-06-21,28.9,16.7,0.0,14.7,鞍山
2025-06-22,34.6,19.8,0.0,14.4,鞍山
2025-06-23,36.7,22.4,0.0,18.3,鞍山
2025-06-24,37.0,23.1,0.0,15.7,鞍山
2025-06-25,35.2,23.7,0.0,11.7,鞍山
2025-06-26,35.2,22.9,0.0,14.1,鞍山
2025-06-27,27.4,22.1,8.7,9.7,鞍山
2025-06-28,28.1,21.2,1.6,13.5,鞍山
2025-06-29,29.9,21.7,2.3,17.3,鞍山
2025-06-30,27.7,22.7,19.7,19.0,鞍山
2025-07-01,31.1,23.0,12.6,23.7,鞍山
2025-07-02,31.3,23.4,0.5,17.5,鞍山
2025-07-03,24.9,23.9,,15.5,鞍山
2025-06-20,25.5,17.5,2.9,16.5,抚顺
2025-06-21,25.5,14.5,0.2,15.8,抚顺
2025-06-22,30.8,16.5,0.0,9.7,抚顺
2025-06-23,32.7,18.4,0.0,10.5,抚顺
2025-06-24,34.3,19.4,0.0,8.1,抚顺
2025-06-25,32.8,21.1,0.0,12.9,抚顺
2025-06-26,33.3,21.4,0.0,13.1,抚顺
2025-06-27,26.0,21.2,9.7,9.8,抚顺
2025-06-28,27.0,20.2,8.2,14.2,抚顺
2025-06-29,29.5,20.4,1.9,18.7,抚顺
2025-06-30,25.9,21.5,23.7,14.2,抚顺
2025-07-01,30.1,21.1,15.6,17.4,抚顺
2025-07-02,29.3,22.3,5.7,17.0,抚顺
2025-07-03,25.3,22.7,,13.2,抚顺
2025-06-20,26.4,17.5,1.2,15.9,本溪
2025-06-21,26.9,16.3,0.0,16.7,本溪
2025-06-22,31.7,18.3,0.0,11.2,本溪
2025-06-23,33.5,19.3,0.0,14.3,本溪
2025-06-24,35.2,19.4,0.0,13.1,本溪
2025-06-25,33.6,21.9,0.0,12.5,本溪
2025-06-26,34.3,21.6,0.0,10.3,本溪
2025-06-27,26.6,21.6,8.2,10.1,本溪
2025-06-28,27.8,20.4,10.5,13.6,本溪
2025-06-29,29.2,21.0,2.1,17.5,本溪
2025-06-30,26.6,22.1,21.2,17.7,本溪
2025-07-01,30.2,22.3,2.5,17.7,本溪
2025-07-02,30.5,22.3,2.0,15.5,本溪
2025-07-03,24.4,23.5,,16.4,本溪
2025-06-20,28.1,19.1,18.4,20.6,丹东
2025-06-21,27.7,16.4,0.0,12.6,丹东
2025-06-22,29.4,17.9,0.0,10.2,丹东
2025-06-23,29.0,19.1,0.0,12.6,丹东
2025-06-24,32.1,19.3,0.0,8.3,丹东
2025-06-25,29.1,21.3,0.0,14.6,丹东
2025-06-26,28.9,20.0,0.2,16.1,丹东
2025-06-27,25.7,20.5,5.7,11.0,丹东
2025-06-28,26.4,21.4,2.1,18.0,丹东
2025-06-29,27.3,20.7,0.5,18.3,丹东
2025-06-30,23.1,21.8,39.8,19.8,丹东
2025-07-01,25.8,21.5,1.2,17.1,丹东
2025-07-02,25.6,21.5,48.3,17.4,丹东
2025-07-03,23.3,22.4,,15.7,丹东
2025-06-20,27.8,19.7,0.2,16.4,锦州
2025-06-21,29.2,16.8,0.0,13.3,锦州
2025-06-22,32.3,19.5,0.0,11.7,锦州
2025-06-23,30.3,18.8,0.0,16.2,锦州
2025-06-24,31.0,21.0,0.0,13.8,锦州
2025-06-25,31.8,20.9,0.0,15.0,锦州
2025-06-26,32.0,21.4,0.0,15.5,锦州
2025-06-27,24.2,20.9,11.2,14.7,锦州
2025-06-28,26.7,21.2,1.3,12.9,锦州
2025-06-29,26.9,21.4,1.7,21.3,锦州
2025-06-30,26.7,21.4,9.3,17.4,锦州
2025-07-01,26.3,22.6,2.2,21.4,锦州
2025-07-02,28.9,22.7,0.0,16.4,锦州
2025-07-03,23.6,23.2,,14.5,锦州
2025-06-20,27.5,21.0,0.2,17.9,营口
2025-06-21,27.6,19.4,0.0,14.4,营口
2025-06-22,32.3,21.9,0.0,15.2,营口
2025-06-23,33.1,22.6,0.0,12.2,营口
2025-06-24,34.9,22.9,0.0,10.8,营口
2025-06-25,33.0,23.7,0.0,20.5,营口
2025-06-26,30.6,23.3,0.0,15.0,营口
2025-06-27,26.4,22.1,14.1,15.5,营口
2025-06-28,26.2,21.6,1.2,13.4,营口
2025-06-29,29.1,22.8,5.9,17.0,营口
2025-06-30,26.5,22.9,36.7,18.3,营口
2025-07-01,29.6,23.8,13.8,23.5,营口
2025-07-02,28.5,24.2,0.2,18.8,营口
2025-07-03,25.1,24.4,,18.1,营口
2025-06-20,25.7,18.0,2.1,22.5,阜新
2025-06-21,27.1,15.1,0.0,17.1,阜新
2025-06-22,31.6,17.9,0.0,13.0,阜新
2025-06-23,33.4,20.5,0.0,14.6,阜新
